efficiency,sustainability,equality,peace
34.0,64.22,906.59,0.77
21.75,36.14,897.36,0.79
25.25,43.19,914.42,0.8
36.75,62.63,910.3,0.77
26.25,57.78,894.28,0.75
30.0,53.54,904.07,0.77
29.0,52.0,896.09,0.77
29.25,44.02,906.2,0.79
24.5,35.25,920.69,0.79
36.25,70.92,916.39,0.8
34.0,63.59,918.63,0.77
15.25,17.14,920.61,0.79
22.75,33.9,917.6,0.79
39.25,72.27,906.25,0.77
27.25,54.15,897.53,0.76
28.5,54.19,915.76,0.76
18.25,25.16,892.78,0.8
14.75,17.38,911.44,0.8
30.25,48.19,902.08,0.77
37.5,62.58,907.4,0.8
27.75,50.67,906.82,0.78
21.5,33.07,905.57,0.77
33.5,59.0,903.38,0.79
30.5,51.67,905.13,0.8
31.0,46.46,891.82,0.79
36.75,67.34,909.36,0.77
32.75,54.38,915.87,0.8
34.0,50.0,921.9,0.79
29.25,45.5,882.7,0.79
21.75,35.82,875.01,0.77
35.0,57.23,895.47,0.78
26.25,39.9,919.67,0.79
24.25,30.56,900.15,0.77
23.0,38.65,887.36,0.78
30.5,56.68,892.84,0.74
38.0,63.26,914.06,0.79
27.75,48.44,905.32,0.78
33.75,71.2,896.45,0.77
35.75,66.98,891.38,0.77
33.25,48.48,899.96,0.79
38.25,72.31,899.53,0.76
28.25,40.95,912.34,0.78
35.25,65.55,923.96,0.77
27.25,36.48,884.28,0.75
47.25,83.96,898.63,0.76
35.5,65.94,903.55,0.74
44.25,72.8,886.49,0.77
38.0,72.69,884.09,0.76
39.5,78.07,894.69,0.77
29.25,51.56,886.74,0.77
45.0,76.4,888.64,0.77
38.75,58.04,887.16,0.78
33.25,54.32,880.75,0.73
35.0,57.7,877.22,0.79
38.0,62.89,891.03,0.77
37.0,64.58,890.43,0.76
43.0,83.29,895.56,0.76
43.75,72.69,877.14,0.77
43.0,79.67,887.49,0.75
35.0,66.47,901.02,0.75
49.0,94.04,885.55,0.77
39.75,66.1,893.76,0.78
41.0,76.47,885.55,0.77
43.0,69.05,906.87,0.79
39.5,63.67,879.92,0.77
42.25,80.13,908.39,0.79
47.0,88.79,888.65,0.76
44.75,92.45,895.33,0.79
33.5,68.04,905.66,0.79
30.75,52.13,908.36,0.79
46.75,82.88,909.61,0.78
33.75,50.75,891.1,0.78
36.5,68.1,904.95,0.77
33.25,56.79,887.85,0.79
44.5,88.71,906.46,0.74
37.25,56.4,896.18,0.77
35.0,57.19,912.93,0.76
42.0,81.8,911.34,0.78
37.0,71.29,897.94,0.74
38.75,79.01,897.2,0.75
38.5,68.25,902.5,0.77
41.75,78.66,902.02,0.77
36.25,73.92,910.26,0.76
27.5,43.93,881.0,0.79
42.5,76.47,916.27,0.77
37.5,63.38,898.14,0.77
44.75,81.15,892.53,0.77
46.0,82.74,914.23,0.75
42.75,77.98,909.26,0.77
36.25,69.63,897.23,0.77
42.5,84.58,903.85,0.78
31.75,55.12,891.89,0.78
38.25,68.2,898.98,0.76
26.0,34.2,890.62,0.78
35.75,61.22,890.41,0.79
46.0,84.71,913.02,0.74
41.75,83.06,897.03,0.73
47.25,90.36,900.83,0.77
40.5,66.04,893.09,0.77
44.5,89.59,897.72,0.74
43.25,91.42,898.23,0.78
44.5,76.56,905.21,0.78
35.25,57.36,900.32,0.77
35.5,55.52,896.5,0.78
41.25,77.21,894.81,0.79
42.0,73.26,890.84,0.79
46.0,98.6,911.36,0.78
45.75,85.56,908.47,0.77
39.5,73.93,909.11,0.77
43.5,86.81,896.4,0.76
39.25,66.68,914.03,0.76
54.5,99.69,906.19,0.78
34.5,68.07,909.7,0.79
39.75,70.45,893.06,0.77
37.75,76.83,899.35,0.77
38.5,68.12,891.68,0.76
24.5,27.36,892.73,0.77
