efficiency,sustainability,equality,peace,cooperability
21.94,43.93,0.67,896.23,0.12
26.13,29.53,0.76,908.8,0.15
25.09,52.96,0.72,906.02,0.17
25.69,42.39,0.58,877.34,0.23
23.58,58.25,0.67,914.58,0.03
18.42,35.39,0.74,854.04,0.02
26.46,39.29,0.84,878.92,0.21
25.71,52.69,0.81,910.54,0.09
21.27,30.34,0.78,913.06,0.12
27.61,40.71,0.66,883.37,0.12
25.46,44.89,0.85,873.39,0.03
27.69,47.66,0.75,914.96,0.11
20.44,41.59,0.65,846.66,0.1
25.68,46.43,0.72,888.69,0.12
23.16,32.54,0.81,847.25,0.12
29.54,52.45,0.73,900.57,0.24
24.37,46.91,0.78,903.79,0.18
23.19,50.5,0.8,890.83,0.13
23.66,57.02,0.76,894.5,0.07
24.11,39.45,0.66,894.81,0.18
23.16,34.53,0.74,852.86,0.36
18.66,40.23,0.73,877.71,0.03
22.56,58.39,0.88,913.62,0.02
27.82,44.84,0.6,894.96,0.08
27.06,38.2,0.71,855.22,0.17
24.41,57.65,0.69,893.23,0.18
19.71,34.63,0.74,889.35,0.12
19.52,37.04,0.54,912.45,0.3
32.07,61.18,0.82,890.8,0.21
30.99,56.65,0.73,863.09,0.25
16.62,33.5,0.59,874.49,0.23
20.4,35.06,0.71,865.53,0.15
28.74,38.32,0.78,893.02,0.1
29.7,60.69,0.6,872.89,0.14
19.98,47.9,0.73,898.17,0.15
25.2,48.63,0.65,875.61,0.09
26.31,51.72,0.69,923.77,0.18
27.17,47.66,0.72,903.65,0.2
23.61,41.05,0.75,868.3,0.01
22.61,44.3,0.68,865.71,0.09
21.88,40.11,0.74,905.98,0.11
16.02,43.08,0.8,897.91,0.25
25.71,46.83,0.71,891.46,0.19
23.54,43.93,0.85,866.85,0.18
24.3,40.27,0.83,851.22,0.08
24.7,43.42,0.7,888.87,0.01
27.46,41.68,0.69,897.2,0.29
28.9,55.9,0.6,872.53,0.17
23.6,46.82,0.73,905.29,0.12
24.99,35.24,0.7,868.77,0.33
21.56,36.09,0.8,835.0,0.04
19.76,37.01,0.6,881.04,0.05
20.2,34.38,0.71,889.32,0.3
25.57,39.3,0.82,872.15,0.11
38.62,55.27,0.67,906.2,0.26
32.0,50.96,0.65,864.76,0.15
28.72,52.91,0.62,836.81,0.36
34.53,56.21,0.92,864.83,0.23
26.84,40.1,0.66,873.83,0.17
26.85,45.48,0.62,913.86,0.16
16.17,26.17,0.67,854.72,0.21
23.56,25.5,0.68,905.13,0.15
25.17,41.61,0.7,885.52,0.29
24.29,49.24,0.77,887.94,0.25
28.84,53.44,0.7,913.45,0.08
29.39,55.73,0.65,901.16,0.18
24.86,42.03,0.62,872.32,0.11
27.62,44.32,0.72,877.0,0.13
33.43,63.71,0.74,888.63,0.14
26.66,45.35,0.84,910.09,0.18
20.72,26.69,0.74,856.89,0.21
17.04,27.02,0.73,901.29,0.28
27.24,46.21,0.63,882.23,0.18
28.42,50.54,0.7,863.4,0.29
21.59,29.06,0.69,880.54,0.17
18.97,30.97,0.71,879.51,0.21
23.24,35.61,0.67,850.98,0.06
23.95,42.07,0.76,870.28,0.02
33.82,48.89,0.72,852.52,0.09
28.75,38.83,0.69,832.21,0.16
27.4,44.33,0.59,872.07,0.03
30.97,53.05,0.77,910.1,0.14
30.12,56.93,0.77,920.68,0.16
24.23,30.85,0.67,866.5,0.16
22.29,46.93,0.81,922.38,0.23
25.36,48.34,0.63,935.9,0.14
29.56,46.31,0.72,914.76,0.06
26.96,31.85,0.72,847.12,0.21
24.04,50.03,0.63,887.76,0.05
27.9,51.58,0.74,831.22,0.04
28.07,37.8,0.87,888.81,0.14
18.9,22.36,0.73,882.65,0.11
18.11,46.6,0.7,890.32,0.23
31.67,49.42,0.75,873.96,0.14
38.43,69.06,0.75,906.94,0.12
29.23,50.2,0.73,893.15,0.13
34.27,54.07,0.7,848.85,0.35
31.93,52.87,0.84,894.86,0.08
26.17,49.15,0.77,903.85,0.01
27.51,43.84,0.69,932.0,0.1
24.75,43.18,0.69,882.68,0.19
24.31,42.77,0.67,852.39,0.05
25.58,47.24,0.67,873.99,0.17
43.16,60.35,0.68,891.2,0.34
30.05,44.08,0.63,887.87,0.01
33.09,48.39,0.78,809.72,0.15
32.61,74.97,0.7,896.19,0.11
32.33,61.76,0.76,873.73,0.0
31.61,54.77,0.68,874.45,0.32
25.48,64.8,0.72,953.22,0.09
31.59,39.47,0.67,845.39,0.26
25.36,42.48,0.76,901.91,0.28
21.53,49.73,0.71,904.47,0.18
20.81,31.2,0.68,896.19,0.05
30.92,53.82,0.6,901.62,0.03
37.14,57.86,0.74,910.98,0.25
37.22,65.69,0.67,887.59,0.4
25.91,44.34,0.72,866.81,0.12
27.81,55.12,0.68,850.66,0.08
44.45,79.58,0.79,878.19,0.07
29.47,40.47,0.78,886.01,0.06
31.85,57.41,0.77,872.27,0.13
36.04,47.87,0.68,900.99,0.08
34.16,73.5,0.76,860.29,0.15
33.81,35.52,0.86,911.89,0.15
31.59,63.67,0.66,862.38,0.18
18.97,37.88,0.75,845.56,0.01
35.37,49.41,0.6,845.95,0.14
24.85,58.38,0.84,885.21,0.34
29.03,44.58,0.69,888.16,0.24
39.41,58.86,0.8,907.8,0.13
33.68,53.2,0.6,875.61,0.18
28.58,32.12,0.88,890.85,0.33
27.49,62.86,0.69,886.36,0.17
20.15,36.83,0.77,878.79,0.34
23.64,35.04,0.71,893.33,0.15
