efficiency,sustainability,equality,peace,cooperability
13.75,23.42,0.59,1000.0,0.32
14.5,32.99,0.62,1000.0,0.33
8.5,16.42,0.59,1000.0,0.32
23.0,50.8,0.66,1000.0,0.31
7.5,15.56,0.95,987.5,0.28
25.75,51.09,0.73,1000.0,0.32
13.0,32.99,0.83,993.75,0.32
18.25,35.16,0.79,1000.0,0.33
6.75,16.92,0.55,1000.0,0.27
15.25,24.92,0.76,1000.0,0.28
25.0,48.3,0.84,1000.0,0.31
17.25,33.96,0.85,1000.0,0.3
12.5,19.55,0.56,1000.0,0.33
11.0,16.85,0.88,987.5,0.26
20.25,54.72,0.71,1000.0,0.3
11.5,14.57,0.75,993.75,0.27
11.5,23.95,0.38,1000.0,0.32
18.25,37.54,0.77,1000.0,0.27
8.5,11.54,0.66,993.75,0.22
8.75,13.29,0.62,1000.0,0.26
16.75,31.3,0.72,1000.0,0.31
15.5,30.81,0.96,1000.0,0.29
14.0,25.65,0.76,1000.0,0.29
15.25,30.46,0.64,1000.0,0.29
15.75,34.21,0.7,1000.0,0.32
20.0,35.7,0.64,1000.0,0.28
17.25,39.32,0.71,1000.0,0.34
18.25,40.19,0.89,1000.0,0.3
19.25,37.62,0.79,1000.0,0.33
17.25,31.04,0.67,1000.0,0.32
16.25,42.36,0.88,1000.0,0.31
17.25,34.43,0.8,993.75,0.32
18.25,33.04,0.62,1000.0,0.3
18.75,36.83,0.89,987.5,0.32
28.25,57.92,0.86,1000.0,0.33
13.25,26.57,0.73,987.5,0.28
12.75,32.39,0.91,993.75,0.24
19.75,40.03,0.81,1000.0,0.25
19.0,46.64,0.67,1000.0,0.32
20.25,28.93,0.73,993.75,0.29
13.0,25.55,0.86,993.75,0.3
13.25,38.2,0.63,1000.0,0.33
15.75,35.11,0.68,1000.0,0.3
17.5,28.69,0.93,1000.0,0.29
6.75,18.0,0.62,1000.0,0.3
22.75,43.56,0.73,1000.0,0.27
14.5,23.92,0.85,993.75,0.31
19.75,33.4,0.61,1000.0,0.31
14.25,18.64,0.57,1000.0,0.31
22.0,54.69,0.9,1000.0,0.32
14.75,26.44,0.73,1000.0,0.31
14.75,21.03,0.72,993.75,0.3
16.25,38.15,0.67,1000.0,0.32
5.0,10.48,0.68,1000.0,0.29
10.0,19.56,0.64,1000.0,0.28
8.0,11.34,0.57,981.25,0.22
7.25,13.1,0.63,987.5,0.23
19.25,24.05,0.59,1000.0,0.17
6.25,15.93,0.55,1000.0,0.24
17.75,32.54,0.83,1000.0,0.26
7.75,9.84,0.41,1000.0,0.23
13.0,22.7,0.6,1000.0,0.22
21.5,47.87,0.78,1000.0,0.24
13.25,25.3,0.81,1000.0,0.27
14.25,21.51,0.61,1000.0,0.21
8.25,9.33,0.7,1000.0,0.24
14.75,24.1,0.72,1000.0,0.27
13.75,29.83,0.61,987.5,0.29
16.5,26.56,0.84,1000.0,0.27
16.25,28.67,0.68,1000.0,0.28
19.75,33.02,0.62,981.25,0.23
13.25,29.44,0.95,993.75,0.25
7.75,14.55,0.54,993.75,0.3
18.5,35.77,0.73,993.75,0.25
20.0,43.78,0.82,1000.0,0.15
15.75,35.92,0.76,1000.0,0.3
19.0,31.56,0.6,987.5,0.33
17.25,29.83,0.76,1000.0,0.31
6.75,14.26,0.49,993.75,0.3
20.25,51.28,0.71,1000.0,0.31
18.25,26.67,0.72,1000.0,0.33
11.75,23.94,0.77,1000.0,0.31
8.25,17.06,0.69,1000.0,0.32
18.0,37.77,0.76,993.75,0.31
10.5,21.46,0.4,993.75,0.29
12.0,22.5,0.67,993.75,0.27
12.0,27.36,0.82,1000.0,0.24
14.25,24.88,0.7,1000.0,0.3
7.75,6.98,0.51,1000.0,0.2
8.75,19.66,0.69,987.5,0.32
15.25,33.44,0.92,1000.0,0.29
15.5,29.67,0.81,1000.0,0.27
18.75,40.88,0.53,993.75,0.28
11.5,20.62,0.62,1000.0,0.25
14.0,26.4,0.54,1000.0,0.22
13.5,17.29,0.75,1000.0,0.32
12.75,27.49,0.67,1000.0,0.33
23.25,45.39,0.78,1000.0,0.31
19.0,37.95,0.68,1000.0,0.3
18.5,40.39,0.69,1000.0,0.26
10.75,17.3,0.81,1000.0,0.22
16.0,20.33,0.88,1000.0,0.3
22.25,43.8,0.71,1000.0,0.31
15.5,39.31,0.63,1000.0,0.28
19.5,44.74,0.81,1000.0,0.26
15.75,38.22,0.85,993.75,0.29
15.5,31.96,0.49,1000.0,0.29
10.75,14.35,0.58,1000.0,0.31
18.75,36.75,0.81,1000.0,0.34
22.75,39.77,0.85,993.75,0.34
18.25,33.75,0.75,1000.0,0.29
17.25,34.15,0.5,1000.0,0.25
18.75,35.38,0.72,993.75,0.3
9.75,15.74,0.72,993.75,0.29
19.5,33.39,0.78,1000.0,0.28
26.5,49.34,0.85,1000.0,0.33
15.0,23.86,0.75,1000.0,0.3
6.0,7.45,0.62,1000.0,0.25
19.75,41.69,0.86,1000.0,0.34
20.5,40.85,0.8,1000.0,0.19
13.25,32.3,0.52,1000.0,0.33
19.0,49.55,0.74,993.75,0.25
18.0,26.5,0.91,1000.0,0.28
19.25,40.85,0.93,1000.0,0.34
21.75,47.31,0.6,1000.0,0.33
6.0,9.62,0.67,1000.0,0.33
15.25,28.54,0.55,993.75,0.3
10.25,20.49,0.52,993.75,0.24
8.5,13.86,0.71,993.75,0.25
16.5,30.79,0.73,1000.0,0.3
17.75,35.81,0.71,1000.0,0.21
5.5,11.86,0.57,1000.0,0.31
15.75,30.54,0.65,1000.0,0.34
19.75,38.25,0.72,1000.0,0.31
14.25,28.95,0.82,1000.0,0.3
16.75,42.13,0.66,1000.0,0.32
18.75,34.63,0.76,1000.0,0.29
14.25,27.72,0.61,1000.0,0.23
15.0,34.28,0.82,993.75,0.31
16.75,31.68,0.83,993.75,0.28
11.75,13.7,0.51,1000.0,0.27
21.5,42.14,0.62,1000.0,0.31
21.75,45.34,0.78,1000.0,0.31
11.25,19.32,0.53,993.75,0.33
19.25,37.1,0.78,993.75,0.32
10.25,15.18,0.69,993.75,0.29
7.75,12.76,0.41,1000.0,0.26
15.5,37.87,0.82,1000.0,0.33
6.25,13.87,0.73,1000.0,0.32
15.5,28.52,0.53,1000.0,0.29
14.5,34.35,0.53,993.75,0.32
9.5,7.74,0.53,993.75,0.3
22.5,45.52,0.61,1000.0,0.32
14.0,19.16,0.69,1000.0,0.26
13.0,22.86,0.53,1000.0,0.31
10.5,15.83,0.62,987.5,0.34
11.75,29.83,0.57,1000.0,0.33
12.75,26.42,0.42,1000.0,0.3
11.5,23.28,0.61,993.75,0.24
13.0,22.24,0.52,987.5,0.18
18.5,38.25,0.61,1000.0,0.28
10.5,16.29,0.83,1000.0,0.32
18.25,41.79,0.67,1000.0,0.32
14.0,24.22,0.87,1000.0,0.3
12.5,23.68,0.56,1000.0,0.33
13.25,35.61,0.67,993.75,0.33
21.0,42.9,0.83,1000.0,0.3
10.75,17.62,0.44,993.75,0.23
14.5,20.44,0.88,1000.0,0.3
20.5,37.81,0.78,1000.0,0.32
15.5,35.55,0.71,1000.0,0.3
12.5,26.12,0.7,1000.0,0.29
12.5,24.49,0.71,1000.0,0.27
19.75,37.18,0.76,1000.0,0.32
18.0,36.17,0.84,993.75,0.33
6.0,10.18,0.31,1000.0,0.32
24.75,48.75,0.77,1000.0,0.33
18.0,36.83,0.74,993.75,0.25
7.25,5.36,0.68,1000.0,0.26
27.75,52.86,0.89,1000.0,0.33
14.0,21.52,0.69,1000.0,0.33
18.5,38.86,0.71,1000.0,0.31
7.75,8.46,0.41,989.25,0.32
12.0,25.95,0.69,1000.0,0.23
6.75,12.55,0.42,993.75,0.2
16.0,25.77,0.65,987.5,0.31
16.5,32.96,0.5,993.75,0.28
10.5,23.96,0.58,1000.0,0.23
7.75,8.88,0.56,993.75,0.24
14.75,30.08,0.72,1000.0,0.33
16.75,30.15,0.62,1000.0,0.32
20.5,43.89,0.73,1000.0,0.33
19.25,30.23,0.81,1000.0,0.32
14.0,26.45,0.71,993.75,0.29
15.0,19.62,0.55,1000.0,0.32
12.75,17.01,0.74,1000.0,0.26
15.25,36.77,0.83,1000.0,0.33
19.25,24.25,0.87,1000.0,0.27
15.25,29.41,0.68,1000.0,0.32
13.75,27.96,0.51,1000.0,0.29
16.0,33.28,0.81,1000.0,0.33
19.5,37.7,0.88,1000.0,0.3
13.0,24.21,0.83,1000.0,0.27
17.5,35.58,0.88,1000.0,0.29
20.25,34.16,0.86,1000.0,0.28
13.5,25.46,0.64,1000.0,0.31
8.75,15.73,0.76,1000.0,0.31
21.5,43.39,0.81,1000.0,0.28
18.25,35.18,0.77,1000.0,0.29
17.5,27.27,0.67,998.25,0.32
12.5,20.1,0.89,1000.0,0.16
11.25,14.56,0.79,1000.0,0.33
13.5,26.47,0.5,996.0,0.31
13.75,25.74,0.65,1000.0,0.28
7.5,18.6,0.37,1000.0,0.3
19.75,35.01,0.72,1000.0,0.32
16.75,39.01,0.85,1000.0,0.32
17.25,31.03,0.62,987.5,0.3
22.25,47.46,0.74,1000.0,0.22
9.0,8.67,0.47,1000.0,0.2
13.5,23.45,0.7,1000.0,0.26
21.5,47.45,0.76,1000.0,0.26
14.75,27.73,0.55,1000.0,0.33
13.5,16.5,0.39,993.75,0.31
24.25,46.1,0.7,1000.0,0.31
25.75,53.6,0.84,1000.0,0.31
13.5,25.48,0.89,1000.0,0.32
12.0,15.32,0.69,987.5,0.32
16.75,41.22,0.9,1000.0,0.3
9.5,11.86,0.55,993.75,0.25
19.25,36.72,0.68,1000.0,0.32
13.75,31.52,0.59,1000.0,0.32
7.25,10.43,0.34,1000.0,0.29
9.75,11.53,0.62,1000.0,0.31
15.5,23.3,0.87,1000.0,0.31
19.25,41.23,0.76,987.5,0.23
13.25,23.69,0.67,1000.0,0.33
19.0,39.55,0.56,1000.0,0.07
20.0,50.3,0.82,1000.0,0.34
15.25,23.84,0.82,1000.0,0.32
6.5,8.47,0.58,993.75,0.31
17.25,35.35,0.63,1000.0,0.31
24.25,48.22,0.84,1000.0,0.32
17.0,33.41,0.71,1000.0,0.26
21.5,41.06,0.88,1000.0,0.3
11.0,15.93,0.76,1000.0,0.21
16.75,29.86,0.66,1000.0,0.09
10.5,20.4,0.61,1000.0,0.06
7.0,9.53,0.38,987.5,0.07
18.0,45.9,0.78,1000.0,0.09
8.25,12.8,0.67,993.75,0.12
10.25,21.83,0.79,1000.0,0.28
14.75,37.64,0.6,1000.0,0.29
16.0,27.06,0.72,1000.0,0.27
17.75,33.26,0.81,1000.0,0.24
14.5,28.7,0.72,1000.0,0.28
17.5,29.62,0.79,1000.0,0.29
11.25,24.06,0.75,1000.0,0.26
12.75,25.17,0.91,993.75,0.22
9.25,27.26,0.67,1000.0,0.34
6.75,9.36,0.88,993.75,0.29
17.5,40.36,0.73,1000.0,0.33
13.25,21.95,0.63,987.5,0.33
22.25,41.03,0.59,1000.0,0.33
17.5,30.73,0.65,1000.0,0.34
13.0,27.52,0.56,1000.0,0.31
18.75,39.11,0.9,1000.0,0.32
11.0,29.74,0.59,1000.0,0.24
17.25,27.93,0.77,993.75,0.28
10.25,25.94,0.64,1000.0,0.33
15.0,24.43,0.77,1000.0,0.31
9.5,16.12,0.7,1000.0,0.25
11.5,29.91,0.67,1000.0,0.21
14.5,32.34,0.71,1000.0,0.23
18.5,41.13,0.75,1000.0,0.32
19.0,33.96,0.74,1000.0,0.24
12.5,31.02,0.61,1000.0,0.26
8.5,14.67,0.41,993.75,0.27
15.0,31.15,0.86,1000.0,0.27
13.5,30.8,0.57,1000.0,0.24
16.5,32.02,0.5,993.75,0.27
17.0,31.64,0.6,1000.0,0.34
14.0,31.61,0.46,993.75,0.24
11.75,19.07,0.62,1000.0,0.22
14.0,27.46,0.74,1000.0,0.24
17.25,32.14,0.61,1000.0,0.3
19.5,29.8,0.73,1000.0,0.33
19.5,25.8,0.7,1000.0,0.3
10.75,18.72,0.49,1000.0,0.25
19.0,42.43,0.59,1000.0,0.33
25.75,55.08,0.63,993.75,0.26
15.0,26.54,0.52,1000.0,0.01
7.25,7.38,0.42,1000.0,0.11
19.0,40.83,0.74,1000.0,0.32
10.5,14.76,0.64,1000.0,0.32
10.0,25.02,0.38,975.0,0.33
9.0,18.84,0.57,1000.0,0.33
14.5,22.42,0.77,1000.0,0.31
8.5,16.69,0.75,1000.0,0.12
9.0,6.69,0.39,1000.0,0.19
20.75,40.75,0.84,1000.0,0.2
14.75,26.33,0.72,993.75,0.31
